Window	CG_Weighted_mC	CHG_Weighted_mC	CHH_Weighted_mC
1	0.3321766140480726	0.11116869369617713	0.035525746430116835
2	0.3391976382771904	0.11577103984014549	0.03723600286250797
3	0.3448225712623618	0.11978588465470054	0.03797103721267465
4	0.3498721473246978	0.12492397518550055	0.03953161282279053
5	0.36321532211259433	0.11593157918090252	0.036404024157437154
6	0.3564569536423841	0.12329420111521279	0.03729785675067102
7	0.329928317528549	0.11265376117138806	0.03809742350741315
8	0.32180472873635246	0.11649231563993284	0.037414721451788056
9	0.31869753712757126	0.12983528277916503	0.03742785551395028
10	0.3187447708605838	0.11956962385914166	0.03585800703956324
11	0.3245816814191091	0.12091964236130394	0.03623180438893531
12	0.31267774794067327	0.12533775877108996	0.03592831722976338
13	0.3260324724855617	0.13280480908195966	0.03669044386086221
14	0.33081651365761444	0.13058595055128633	0.037910468706146505
15	0.3219895880488909	0.1334979250932395	0.03899608367561372
16	0.29634046688310256	0.12051802945657694	0.03971261684979479
17	0.26453845756495686	0.10938217970675466	0.037178173803879645
18	0.2174360451954146	0.08993348206907949	0.03815237416457109
19	0.13572911583761493	0.056607861343237385	0.02924030882865403
20	0.057875364894022084	0.028101229906256478	0.018528882515031035
21	0.03879211551684621	0.01948962052095729	0.009253372889736527
22	0.029095323816301755	0.011291676203555352	0.007541960573054326
23	0.03328100470957614	0.011765977765365141	0.007850300638244665
24	0.03883354523069991	0.01150386948337168	0.007873649141503236
25	0.054673217550274225	0.010906962721242862	0.007149125198931102
26	0.07735663251409056	0.012861510348947535	0.007764656034605929
27	0.10736002882753029	0.008543752720940358	0.007319277108433735
28	0.11105944714388673	0.010545386179903946	0.0070976954802100655
29	0.1396601930617018	0.01168796768425932	0.007593741693628956
30	0.1525659450187752	0.00999364952037167	0.007058088398888505
31	0.15915020499440924	0.009187054452960274	0.006834422115366195
32	0.1664442282896374	0.009970918155380142	0.006918147049530537
33	0.15049340305888015	0.009921712733663525	0.007113922016288754
34	0.15467133463497834	0.01118549558423346	0.006868494742959793
35	0.14879866693688215	0.010243538430228615	0.007281633733823189
36	0.15009227863856817	0.011627353627004648	0.007701737676080408
37	0.13797238071611675	0.012439384355892895	0.008249247821153294
38	0.12898707144005328	0.015666125833784027	0.00823365642400495
39	0.10051101884381987	0.017862227859898005	0.00859795018424179
40	0.0947608778383864	0.019880853422000553	0.01004679650940227
41	0.13981425865175806	0.03209086792743668	0.014768644721129088
42	0.16323816376143288	0.043011649567659245	0.020008938644017673
43	0.18533001808318264	0.05148256761159987	0.0221828559507952
44	0.20577020563796258	0.0654844749727148	0.025241339548749533
45	0.239172730237632	0.07117664298491172	0.027684984208387324
46	0.25115526802218113	0.07403644807496942	0.02698306003829708
47	0.2684737993053688	0.0874182745973529	0.028039040012200003
48	0.27789591494124233	0.08631969946393145	0.030682980121378947
49	0.2723168049526957	0.09355022956437688	0.028740872341924222
50	0.27251565837152936	0.09534737025275156	0.029152985967110974
51	0.26567553104860286	0.08871462367475685	0.029828899023828053
52	0.28417863320293	0.08895476504172156	0.027749281802984627
53	0.30517784256559766	0.08445615355664284	0.0282545093648006
54	0.2931910445584267	0.08595916857916662	0.028206628227063456
55	0.2986481047422876	0.0799492385786802	0.028825212023887187
56	0.3052670035925227	0.09454863579200612	0.028182910858762535
57	0.33701724853009346	0.09630007881620284	0.02992607463722183
58	0.31925368642792656	0.09377702867534542	0.02953616441467015
59	0.2977028669840948	0.09031651173085437	0.030486249711553642
60	0.30254665968951683	0.09192882929345023	0.029529941424214553
