Window	CG_Weighted_mC	CHG_Weighted_mC	CHH_Weighted_mC
1	0.36085620711454003	0.13155016651252097	0.04074044801111665
2	0.3576255919718396	0.13338450782899522	0.040853024185146684
3	0.35035891166124306	0.1332444862091913	0.04091051019905085
4	0.3724505522733111	0.13367024053469517	0.040652920307556586
5	0.3639960471149025	0.13506469164269205	0.04079969490880914
6	0.3700837379600785	0.13471552298467687	0.04034009949001931
7	0.35871957576615654	0.13434269525223835	0.041380776895429905
8	0.35590354670405905	0.13605661042376482	0.04048867706638219
9	0.3665360752564036	0.13827221220236469	0.041919394126250974
10	0.3632009968398376	0.13693199589749558	0.0423808299694997
11	0.36458840050296915	0.13888848094108663	0.04301914117815825
12	0.36014125239050415	0.1423482767117947	0.04345357083650657
13	0.3605244606852301	0.14406320433951209	0.043483560707183136
14	0.36635470431514255	0.1385998971244628	0.04392583905021991
15	0.3495644413041659	0.13664635777446468	0.04412580613072663
16	0.33391026785551614	0.13049450804441087	0.042970693337608404
17	0.30567848721945085	0.12038449293282295	0.04263393488261755
18	0.2810375633745866	0.10888793521454886	0.042354524847716665
19	0.2289671019429213	0.0930431784140257	0.039789853706220527
20	0.16333150263104776	0.0697883827985008	0.02799464498301483
21	0.12167367138891022	0.05161606371547165	0.017373635668882254
22	0.10631576011824372	0.042495363764910164	0.015080657298835634
23	0.11860928892446351	0.037369984283497346	0.014441698398007874
24	0.14211232502501794	0.040683197374494995	0.015168728356042162
25	0.15903661356923146	0.041612525932060135	0.015626045256375707
26	0.1725965269205872	0.036489969192464916	0.014590197584426073
27	0.1863795737802902	0.037743545571842986	0.014662743809725933
28	0.18912484483064373	0.03644182249664127	0.013487252498862486
29	0.2025118202638932	0.03566045784160387	0.014192513856259385
30	0.20871714629113092	0.035860074738573486	0.014564068594545202
31	0.21757782982806417	0.03546119112291152	0.014236096451191324
32	0.20683177212523482	0.034106244841347506	0.013715415869467076
33	0.20714628749807043	0.034314489699785934	0.013277725923899813
34	0.21161210395800986	0.0358864103460557	0.013680799952752207
35	0.19880635809257222	0.03208748339579207	0.013130901200708534
36	0.201591841087338	0.03547771971364191	0.013653934660607195
37	0.19114778834421542	0.039210115073163805	0.01428569002570227
38	0.18027929599721645	0.03834213114899374	0.014575451397900663
39	0.16873628477247896	0.04281999199827655	0.014976903411094958
40	0.16537584761715632	0.046778807605017465	0.015747164969852102
41	0.20159832772534705	0.05891558801473705	0.022393041960715048
42	0.23109171093063266	0.06828917225860076	0.02719198416545011
43	0.25934229348068133	0.0771178993280719	0.02958637687270799
44	0.27716032787447875	0.08479421026652656	0.031530347503948716
45	0.2835252502723457	0.0892546399990418	0.03173671356291322
46	0.3019381461401699	0.09532096424702058	0.0319812301703682
47	0.3074599360422049	0.09842513013772909	0.03198218214917971
48	0.3056153014674899	0.10126845498024538	0.03270959052411528
49	0.30664047593954086	0.10240096288978251	0.03325503240000675
50	0.3050178229669383	0.10145301527334785	0.033278262491209284
51	0.3044030444453665	0.1005067335911572	0.033641649465042625
52	0.3105707349030791	0.10151064685976639	0.03325675922274089
53	0.3032479463899697	0.10624053009082494	0.03415569075959372
54	0.3196849357867561	0.10472571186417509	0.03493740146869335
55	0.32261088316108166	0.10795037061471253	0.03457660591526071
56	0.33631715228507064	0.10970769606443824	0.03431616836353965
57	0.3404464219839842	0.10828893678388059	0.034860020182740425
58	0.32031134856300664	0.10628718415941965	0.03520456957199565
59	0.32589504149561804	0.10940730084330837	0.035254420018256356
60	0.3203969683631158	0.10967878777594896	0.036024475881749264
