Window	CG_Weighted_mC	CHG_Weighted_mC	CHH_Weighted_mC
1	0.333301829298101	0.11416844101487056	0.033189211254528624
2	0.33816330315590615	0.11577842500747249	0.03349997783439518
3	0.3313174238185638	0.11560867328714718	0.03399262651158206
4	0.3479297720944622	0.1166431052306388	0.03430260022408438
5	0.33939172936178924	0.11734135885748043	0.034166964591553
6	0.3456852329837656	0.11909787569281699	0.0340442911229487
7	0.3384599586247323	0.11802578567296898	0.0345326344344696
8	0.33651868312513106	0.12069686869310722	0.033919676733307945
9	0.34598867315622395	0.12145919961663064	0.03465342335691245
10	0.34251931683604253	0.1246261295659921	0.03538892546947943
11	0.3431178274892839	0.1250507048092458	0.035713236865263696
12	0.3343915376753847	0.12482472036554734	0.03559677364405885
13	0.332953956345825	0.12771666453480934	0.03529768278807096
14	0.3383893260022764	0.1233258848604295	0.03564071505173092
15	0.3244865209238216	0.12246376811594203	0.03546253117883093
16	0.3088664419828859	0.11646772871583747	0.03449855462560734
17	0.2857567218744704	0.10836564814893382	0.03386875393006135
18	0.2523369665107919	0.0944163025000879	0.03300428440943128
19	0.1935552553066723	0.07447200045297549	0.0300008826915779
20	0.13425225202686886	0.05497642242155484	0.02196786387167683
21	0.0995628777630699	0.03977528396307457	0.014139389462705916
22	0.09303340595296426	0.032979119254814164	0.01257929761639105
23	0.10812184713417043	0.031229554487623472	0.012659740185653945
24	0.12508479640291822	0.03176770774015507	0.012799057153251135
25	0.14679374091723277	0.03275041655451025	0.012969915011210177
26	0.16079522370168883	0.03028964107223989	0.012732026329027825
27	0.174289301141164	0.030432490348475314	0.012347779939452894
28	0.17750454074896013	0.030135740653766133	0.011936876335295023
29	0.18580355306661606	0.030010539745936652	0.012371377765820254
30	0.1926966131203789	0.030930827778992157	0.012734461078272275
31	0.19794502434547237	0.02939132047944978	0.012509802618942054
32	0.1947899908724865	0.028750533365907587	0.012132370969894021
33	0.18940856684782853	0.027916938737274577	0.012162118524569825
34	0.18986167575534912	0.029390984420531688	0.012156595079458921
35	0.18077574178623868	0.026700206117604302	0.011516032832361871
36	0.18216456648717153	0.028672303261172535	0.01196925044132579
37	0.1681544362109037	0.03215743827905305	0.012345432667292395
38	0.15395854808202317	0.03056526241327763	0.012399101895328843
39	0.14291763476970537	0.032334294112556665	0.012014253978508362
40	0.1420108268129917	0.03614470730567045	0.013077878658408313
41	0.18032460139880613	0.04907329581474066	0.01862866622166877
42	0.21356429252534095	0.060117258152858274	0.022773426255955492
43	0.23771831965109275	0.06904290475552956	0.02455388358429751
44	0.2601212076518348	0.07714705019078368	0.025923384834535573
45	0.2724918627732399	0.08315138830675611	0.026798854805725972
46	0.2869448107807069	0.08786470551176434	0.02714457442615161
47	0.29406337849521375	0.09011936565035197	0.027645533187819357
48	0.29783376175703996	0.09352316734513094	0.02816874432103024
49	0.2976512326220066	0.09615900047419747	0.028651728587467774
50	0.29807861313301	0.09428722456610902	0.028763606480856366
51	0.29820828907700064	0.0941856631847234	0.029176066160901314
52	0.30394754937165336	0.09488069141869178	0.0285676734546281
53	0.2990202134024838	0.09637911777537492	0.029036482639377074
54	0.30442576896660944	0.09425360036402532	0.029268736915894884
55	0.31187659755439906	0.09765081157148706	0.029698055057488026
56	0.3173155000940338	0.09932407337168281	0.029219157540632337
57	0.3231547188863806	0.09838233278954323	0.029765632264437732
58	0.30995559293449904	0.09458819566897153	0.029656378324710048
59	0.3106201729806009	0.09595327907480797	0.029829870977165752
60	0.3085565671421295	0.09717808630156995	0.03079488303116646
