Window	CG_Weighted_mC	CHG_Weighted_mC	CHH_Weighted_mC
1	0.17709986708476894	0.0899785193054834	0.022692635681481152
2	0.1812886682151711	0.09114332479696763	0.025120849655630356
3	0.16960867089477508	0.08845973378114735	0.02464027068949144
4	0.22431467363581098	0.0952182083942368	0.02440387612753983
5	0.17135605412815397	0.09349178055060409	0.02458226132563508
6	0.20975693255734337	0.09165453048819097	0.024828314844162706
7	0.1912736316889696	0.10206260983628612	0.02501075012376193
8	0.17060184107173348	0.11539331477966702	0.024849095698243853
9	0.20358321546440358	0.09617389685347236	0.02388633927835335
10	0.188510699670086	0.08433870785883414	0.02393080134739297
11	0.16414799787623524	0.0841416416882319	0.023632958518663958
12	0.15641360215139316	0.08447766687406343	0.023428953942105177
13	0.14522360854384883	0.08076080889614014	0.0233232145310997
14	0.15352465447522481	0.0748521006718139	0.024320275109398073
15	0.1416302690599474	0.07256016042780748	0.023081225685279733
16	0.13839448365201668	0.06568454282385659	0.0219732025235173
17	0.11100855117643986	0.06258119090057702	0.021317150970552767
18	0.12088023527025657	0.06540396308123005	0.020007987471619318
19	0.11295585214900501	0.049647786839694195	0.01678585432343111
20	0.0831772481646537	0.03746892773013002	0.015176307083761456
21	0.10533022265175346	0.04202597585442258	0.012356998624667104
22	0.1231571435522325	0.036867059240386725	0.013240309300411205
23	0.17193721507299903	0.05219947800521995	0.012779597435682091
24	0.13808700279366767	0.04514330322292852	0.014815599392392506
25	0.16179704681118443	0.04941659665826566	0.013890140478407578
26	0.15223353150135283	0.04134973758271849	0.013393624828341201
27	0.1687463685914285	0.042654894995298294	0.01359153690801442
28	0.15634826745937858	0.04444934385214866	0.013000309978489371
29	0.13445681070607848	0.03942333971030336	0.011825572801182557
30	0.13813691275167786	0.03724770642201835	0.012739889826941006
31	0.11867256033040925	0.0365500204244393	0.011099976700680657
32	0.12437223267971864	0.040947343111324835	0.013017534999413445
33	0.1311942878954577	0.04294632818509971	0.012344210241304901
34	0.1663826880344229	0.049881687581957906	0.014416467060037779
35	0.1347547945111351	0.0416162576333679	0.012149978849659302
36	0.19237449725565273	0.048489430250960884	0.012845069259085254
37	0.14947972403743254	0.04061225810627144	0.012803892248376966
38	0.14268481444070605	0.04166845102993448	0.012597398976875148
39	0.13906542357571455	0.03899027313518234	0.01232616634118813
40	0.11036500232697294	0.04498989916505545	0.012768017832835439
41	0.09070360343785318	0.043306221147504945	0.013621497091366192
42	0.0938434056702216	0.040251192155282424	0.015568408869746472
43	0.11089610461640856	0.04270847839572599	0.015733772141213243
44	0.1340563145942786	0.05425384559305971	0.01713055421507851
45	0.13488435961315887	0.05082930411897913	0.01919884204112817
46	0.16245641893058096	0.0567557783518122	0.01803219327003798
47	0.14501715389198183	0.05897840307145146	0.01822324886456344
48	0.15745626010020883	0.07141682242990655	0.018325837206680115
49	0.14278311425682508	0.05994203436818125	0.01882605479571265
50	0.16033020722187905	0.06304724999493677	0.018817587217929085
51	0.13737064710765953	0.05965759008641774	0.01888379743860886
52	0.16029254136193608	0.05427033871478316	0.017830914892904472
53	0.11692754597397609	0.07094468792071267	0.018045001392907926
54	0.17090227507755945	0.06787614868108759	0.018174927904168
55	0.15431998041935222	0.08323303323544044	0.01876315295980664
56	0.20725711411864495	0.06571426754912993	0.019162487942447737
57	0.2007059406702163	0.07481792627611321	0.0200673050194877
58	0.13592408434775044	0.05549584502057829	0.019518777747200827
59	0.16629216929837343	0.07289505255294908	0.020226489942816894
60	0.13643294777042064	0.07154909401450403	0.02089274847453167
