Window	CG_Weighted_mC	CHG_Weighted_mC	CHH_Weighted_mC
1	0.3416782155348776	0.12915905614204357	0.03332285984270439
2	0.3455399292786189	0.13215252294387062	0.034039563502352765
3	0.33882125141872294	0.1327022261961938	0.03417942005260613
4	0.35543819074271865	0.1336922396427546	0.03457262379698905
5	0.35037883773266065	0.1355211257726859	0.03451304857941004
6	0.354326195075563	0.13661310665528253	0.03442843250339013
7	0.34672720818171854	0.13570467648444826	0.03476636781526879
8	0.3459428307976026	0.13829540086935785	0.03446853061752944
9	0.3551384285718896	0.13945585873860653	0.035142419151159524
10	0.34954009697742255	0.14130337694563777	0.03571216599189532
11	0.3511918142306654	0.14196237327295863	0.036178575153593594
12	0.3426074807819988	0.14351067004066592	0.035952281309549736
13	0.3445110952237743	0.146678734523848	0.03593317847221085
14	0.3493131603197394	0.14282365512951817	0.03641452364808658
15	0.3354498768115832	0.14035511265597306	0.036003302504898665
16	0.3181315264079175	0.13388725880707344	0.03533488230019008
17	0.2933605754000249	0.12438443292138325	0.034618094150365195
18	0.26189814273799783	0.11017097957560539	0.033679847150034886
19	0.2026431196314473	0.08662734586970096	0.030572577329756937
20	0.13878242023168336	0.0655180758408065	0.02303437315198513
21	0.1032029973314426	0.04800820078973841	0.014628275229746454
22	0.0943799054968583	0.039107281994272866	0.012788900912255418
23	0.10879912621296291	0.036703210041605004	0.012791698661409152
24	0.1279472766097558	0.037679367135818466	0.013065986549132616
25	0.15007210356468453	0.038754972039538794	0.013174362410761748
26	0.16327133156185414	0.03561395181660523	0.01293636545425282
27	0.17788432704942017	0.036224731807024124	0.01245440986771654
28	0.1812202832346998	0.03616938845077443	0.012133612952283697
29	0.18852616425629026	0.03595697740735297	0.012480475462663941
30	0.1981711099136678	0.036868007699049646	0.012810706359688496
31	0.20208573339862454	0.035648921610769144	0.01285146241088155
32	0.19724577428346343	0.03431824205345385	0.012439993020649838
33	0.19305793618924777	0.033366727056674504	0.012218810724424307
34	0.19215712886674757	0.034677427956599303	0.012216472041730393
35	0.18363226741351432	0.03269698936749538	0.011665499294527577
36	0.18392496225839183	0.03464533709465916	0.01224639521659438
37	0.17059165442856433	0.03818056933709482	0.012683519936096331
38	0.15679089711242358	0.03636990055411497	0.012474568794603435
39	0.14813213772007686	0.03967482347761386	0.012590223577216177
40	0.1491603669988687	0.045363423159152025	0.013762622551404475
41	0.19024133666166673	0.06036651488782056	0.019203149701903923
42	0.2251670401072686	0.07326373045401098	0.02343955005078674
43	0.24804211246144495	0.08356362794056532	0.025504328611494476
44	0.26890076716253025	0.09141510513851211	0.026732692079948734
45	0.2812687779857537	0.09708519854549669	0.02758034864004948
46	0.29467801693248385	0.10206258025122418	0.02800110724781655
47	0.30394577876500617	0.10603625389310464	0.028656149914153224
48	0.3061041958117934	0.10963778422385113	0.029054145690807363
49	0.3050856384707799	0.11134241112435544	0.029517573262441584
50	0.30504236456079936	0.11061340321602207	0.02962176353436085
51	0.30565839216341534	0.10884624029130974	0.0297487379253468
52	0.3130869238956662	0.10977846157925598	0.02936052626867542
53	0.30633370863385295	0.11230161169481447	0.03004435013635916
54	0.3113702070810942	0.10898479498097215	0.030144905953974413
55	0.3178332438170456	0.11304349431898625	0.030021484380069168
56	0.32283573091585754	0.11434918485652629	0.02962170181129806
57	0.3313191654114457	0.11419953991020113	0.03043024739574317
58	0.31817057947531147	0.10992659818750967	0.03037705705820024
59	0.32177887859388116	0.11318115021506579	0.030460965809788708
60	0.31790593672209694	0.11324516644273176	0.03134747502707392
