Window	CG_Weighted_mC	CHG_Weighted_mC	CHH_Weighted_mC
1	0.3499905075568102	0.11991883701157459	0.03385156145667838
2	0.35321990803800657	0.12253320038653683	0.03444238928140699
3	0.3615895225410225	0.1228453896826606	0.03540083955601163
4	0.3773732718894009	0.12564509571886903	0.03612021463733862
5	0.3621012268274957	0.12581642280406374	0.03585735060030318
6	0.37912865725562145	0.12745822630411974	0.03655152113049587
7	0.3759656864902936	0.13092492754526472	0.03717516012148885
8	0.37051513850176837	0.13383739841656866	0.03588259561193554
9	0.38634484486574516	0.13341738102820686	0.03662693426451089
10	0.38409304938292	0.13488463813843424	0.038066504819203255
11	0.3763552315234862	0.13825987098003312	0.038294057084416556
12	0.3743316237823202	0.13577087141986593	0.038603496186159526
13	0.3625843135642017	0.13872138197905065	0.03786892850398088
14	0.3745022666419236	0.13187028207161466	0.03807425591492224
15	0.36760567866888944	0.13274804452117542	0.03772651895506917
16	0.35451822191446763	0.12923568781070494	0.03812107796139397
17	0.34119882005899704	0.12779819946732407	0.03834531212831753
18	0.32503068129181373	0.11727102419352817	0.03809419560795629
19	0.29369174589536207	0.10769916089265914	0.03756068040420224
20	0.2366407804228831	0.09171702106118337	0.029742990785297622
21	0.21517852681025437	0.07600457191841983	0.021645914145990503
22	0.20055111434108527	0.06859866892787413	0.019419607551242567
23	0.20021768264813652	0.06130338517769352	0.01879400012368411
24	0.22063588993835442	0.06501922744377929	0.01898073243721868
25	0.2347537736261282	0.0655226974450809	0.01909140965677867
26	0.239290795984868	0.06049393906931134	0.019553081457296336
27	0.25377476953232675	0.059169300039242416	0.018124091452468124
28	0.24809643970865336	0.061983982386598795	0.018000663798881954
29	0.26907065674794817	0.06266311813186813	0.01900105647107814
30	0.2542191450110461	0.05799478454803032	0.017862937118696062
31	0.25128118549823275	0.057952764226210395	0.017273270444749852
32	0.23723920677545962	0.05390320393286998	0.016828091369853502
33	0.2429106046813698	0.05694635140712787	0.01712846292837465
34	0.24643847028434604	0.061184546788060616	0.01822325154858897
35	0.23883882679183027	0.05362806614922768	0.016973289669350973
36	0.24309967659794995	0.06072522159548751	0.01756105755589495
37	0.23778914709170906	0.06325468464569795	0.017455608411329707
38	0.23383727542307167	0.06235152066361933	0.018313359998914248
39	0.24916867645984067	0.0713861155209125	0.019173907625380928
40	0.2740401119183654	0.07973190138360836	0.021464545634815597
41	0.2630669343295251	0.07812063329273765	0.023996418879813953
42	0.2818661635522945	0.08280781189687386	0.02729619569790415
43	0.29813562206198285	0.0878817508675228	0.028178732360343402
44	0.32635514928339104	0.0962214055208378	0.02965012153411252
45	0.32704659365138294	0.09712914424620597	0.029791520851011867
46	0.34154155394846036	0.10211886675266352	0.030234260516122706
47	0.34556827219908065	0.10357522643100729	0.030286866056379317
48	0.34811525607040017	0.10745242857875571	0.03088536398845499
49	0.3408257197749796	0.10874222255210346	0.03197211859970477
50	0.3477769983818996	0.10646865708779672	0.03199334135150284
51	0.33370096407994065	0.10567048515797922	0.03216493909058528
52	0.34488059447501274	0.1076653783111075	0.03134633801722506
53	0.3318656047432338	0.10896259265108307	0.03134756499851627
54	0.34345373615764035	0.1075349295002089	0.031722132857175844
55	0.35151390978287717	0.11027193535901936	0.032128641005709516
56	0.35192710539268995	0.10926462876708103	0.031541952385724305
57	0.3618038407976501	0.10900250941028858	0.03181207527843389
58	0.33879126842861523	0.10466224115111471	0.031304392753270696
59	0.3456681714535781	0.10888982745944593	0.03242553326656422
60	0.33542711483912346	0.10745734833326075	0.033689521258466665
