Window	CG_Weighted_mC	CHG_Weighted_mC	CHH_Weighted_mC
1	0.13110939944256073	0.06651514350652783	0.017332066362401678
2	0.1314946222162717	0.07191370355573312	0.01993388607235717
3	0.12442033353425759	0.06571145695437909	0.0194354125369682
4	0.18474535609020495	0.07925221165080955	0.019839027147116717
5	0.13871507445206627	0.07502111238201119	0.020085568621422897
6	0.16170945870845838	0.07217733928366134	0.020063269447464907
7	0.14288648500616186	0.08319917794142832	0.020320094600163298
8	0.11286980941252713	0.09490899725274725	0.019405227115998354
9	0.14714464862779145	0.07416451633205362	0.018454529561184298
10	0.14266928872672133	0.0633612776217125	0.017746584498072204
11	0.11850455483068663	0.061526071560969994	0.017193233781265735
12	0.10768003424590898	0.058509296833803334	0.016802368248804968
13	0.09792	0.05566398878524829	0.017797816239204924
14	0.1059375580747073	0.04695315441295111	0.018335390498317967
15	0.09787793897843929	0.04710650801258674	0.01680533696761881
16	0.09952451352539257	0.04452738156825068	0.01664057238320986
17	0.0861713515442255	0.048479645777797856	0.01692258319344327
18	0.10267474696195704	0.051836013956259044	0.016217841985142492
19	0.10418067380051681	0.04638712290650371	0.014251187742633927
20	0.08361391005160973	0.037976398338250346	0.01459324813452597
21	0.11250452295011076	0.039138567312067135	0.012239202271471902
22	0.14232582692469198	0.04391370446448259	0.013249289400299569
23	0.18689156756465228	0.055645208614517924	0.013467773079381976
24	0.1687852552519523	0.06310316705178741	0.015443839264602787
25	0.17153866163751058	0.05649809118110933	0.015882613936650164
26	0.15080832562904475	0.04841055768171612	0.013840547797303633
27	0.1810413955383786	0.04994937563280459	0.01476924494827308
28	0.1632869345143942	0.05738470519556334	0.013953804153624058
29	0.14169313878569248	0.048347227979672364	0.012866639254385965
30	0.12260174193348418	0.04516002058921489	0.012631873467305255
31	0.09497503583963617	0.04818810609127228	0.011033172319150252
32	0.09447938504542278	0.04270549279314375	0.011833935887421695
33	0.10592045429338302	0.044274644339418946	0.012884912102803885
34	0.1440190671625839	0.059262530860003174	0.01574460323717515
35	0.12915651674489534	0.050854802712833956	0.013368305884228297
36	0.17305267242215538	0.06003571147820814	0.013013552421265274
37	0.1395160200081114	0.042874585027698454	0.012735590854078051
38	0.12754392903553874	0.047661545140982656	0.01224754836999735
39	0.12264338859921495	0.045970270723125164	0.012731083420784207
40	0.09942352544262391	0.04941495875938796	0.012860303207755872
41	0.08226823353851893	0.044313894780307436	0.012996528763635365
42	0.08159839491723792	0.03637708712841358	0.014196978376056137
43	0.0954416858918732	0.03761295797293475	0.013532422056729276
44	0.10598664392262186	0.04559256863590628	0.014379384847396499
45	0.11249864766703244	0.04247797909559727	0.016531205788515076
46	0.14218300183198115	0.04733688853775759	0.015257790098090236
47	0.11547957595560734	0.04299325699841831	0.014850510430360514
48	0.12090382004330116	0.056264130424413555	0.014778789837298831
49	0.10621156071987836	0.04767689037351959	0.015027203873509924
50	0.12422289045070149	0.05063764030633904	0.015439425381534715
51	0.088907073575778	0.047955565675622924	0.015774597077518125
52	0.1200524461198066	0.037804222289762233	0.014237523879391317
53	0.07400607199653028	0.048432324601023785	0.014170831489297396
54	0.12730147436657577	0.0538667955167088	0.014501835479034176
55	0.11575565349919677	0.06260039070978946	0.015107296481445105
56	0.16637195356346582	0.049382411067193675	0.01590699318552267
57	0.16261862817525716	0.05658533442158168	0.015998046161422013
58	0.08735316376558849	0.04064143749779362	0.015827817967266945
59	0.1137470620593089	0.05331754784974712	0.016965613186686195
60	0.09538567197493239	0.04517723446747585	0.01666035419794381
