Window	CG_Weighted_mC	CHG_Weighted_mC	CHH_Weighted_mC
1	0.3567544596481985	0.13784551886040178	0.034042812418113765
2	0.3579414755527035	0.14039733634386414	0.03472545759274507
3	0.3636083911021014	0.14155110057244139	0.03553440239251347
4	0.37887874923072606	0.14499785002718493	0.03644396018948072
5	0.3690107490707117	0.14464924179507244	0.03626148064106663
6	0.38609761049980346	0.1470379008792598	0.03672399990857696
7	0.37872549118067483	0.15092504860111564	0.037454357009357085
8	0.3792543501528669	0.1551896369954836	0.036620964763156086
9	0.39514070740502133	0.15387626238120192	0.03694991897179259
10	0.3867497282718087	0.15450179465953556	0.038275923439835165
11	0.38253500072529745	0.15723998886411542	0.03887574404572539
12	0.3799200509819825	0.15797946178511993	0.038849906012883906
13	0.370142936361582	0.16044327232844524	0.03870367192955806
14	0.3801987644544016	0.15428656533906077	0.03919767342841586
15	0.3705966933123072	0.15251144990865959	0.03846284283450681
16	0.3605241131228799	0.1490696726046336	0.03941688384140478
17	0.34435927056329946	0.14701410623993139	0.03947677654934792
18	0.33432340710853364	0.13829180749839123	0.03925271693941248
19	0.2999559564713974	0.1250712197104547	0.03824056074977499
20	0.23999379932316356	0.10977559403259725	0.031572900709197216
21	0.21989842543176885	0.09306679802993956	0.022702659721741125
22	0.19866089856843286	0.08007686465937675	0.019599298272337792
23	0.20144664586206062	0.07419239979101078	0.019125951195956104
24	0.22335221241896527	0.07640705595506872	0.019445171576793107
25	0.2379487024241094	0.07752756364976505	0.020106106696397428
26	0.24161467596816358	0.07163331248697102	0.02024216624803715
27	0.25361281434861294	0.07203328028416799	0.01841307490096823
28	0.24731193768389545	0.07570675353460725	0.018752190436554007
29	0.26478199306674477	0.07570928760938436	0.01940827004324348
30	0.26025638105716453	0.06868284127288894	0.01837659347337418
31	0.24583659713399905	0.07003072392744698	0.01792042528517123
32	0.23608406590658662	0.06459232711574489	0.017061972201439998
33	0.2410376574337215	0.06665764134499856	0.018075648778051165
34	0.24658082486238578	0.07230172408228604	0.01849696278765617
35	0.23335538365306296	0.06662396385674597	0.017421121183999858
36	0.2485213869436844	0.07159079799354746	0.01848373733016832
37	0.2335853142947718	0.07564655881675388	0.018498071364891847
38	0.2320337148647989	0.07662622836768415	0.019025410274458008
39	0.24770391225033783	0.08437126996020908	0.019982548917162075
40	0.2819873358826539	0.10257670063105517	0.02370836762559279
41	0.26865239398921453	0.09498569030856985	0.025216474345123585
42	0.29163334386131	0.10073243697626799	0.028445671414503514
43	0.3044166570695872	0.10570311708304675	0.029231061347902532
44	0.33175242535959953	0.1143272159381414	0.030408135437713417
45	0.3351956472891856	0.1141245952604326	0.030450235279517762
46	0.3475569289055792	0.11807942011035365	0.03105839295573271
47	0.35285832073656725	0.12134307347464131	0.031430195182678936
48	0.3528683436372895	0.12386083325922216	0.03128333888418496
49	0.34455336824636545	0.12418182849338354	0.032451784553538914
50	0.3532602601956394	0.12508689190296193	0.032228648306780835
51	0.3405327508392622	0.12211331696231822	0.03222556205412856
52	0.35223137116091097	0.12293911312082473	0.03165787395088078
53	0.3342468865241099	0.12684133739952913	0.03205927378827477
54	0.346504989521753	0.12303721515766668	0.03221625259657125
55	0.35291672475192315	0.12820481656319532	0.032164378849259566
56	0.35511620219624623	0.1244453992145622	0.03164988313610419
57	0.36757240142154823	0.12713994750723623	0.032341608746991476
58	0.34585370240594027	0.12066792889118512	0.03217151892209814
59	0.3555386325315169	0.12595519913016764	0.033126168926529295
60	0.34426083896444026	0.12366517911291809	0.03413527307087889
