Window	CG_Weighted_mC	CHG_Weighted_mC	CHH_Weighted_mC
1	0.6459626182648436	0.21503401213120288	0.053847413011797914
2	0.6438264385289243	0.21689151414073982	0.05398719231194236
3	0.6477830631147606	0.2191169695500286	0.054253442484996965
4	0.6462911090398643	0.21706680473730375	0.054208818800713696
5	0.6522724113821686	0.21964858607784132	0.05440819088749554
6	0.6542859159214228	0.22083148254682383	0.0544726218157117
7	0.6570096141905266	0.22082955663878368	0.05462439124526822
8	0.6567667233648409	0.22146304445645004	0.05496136162516449
9	0.6571240871054023	0.22173029516868545	0.05540080125031885
10	0.6615734535573309	0.22400130327287596	0.055636626151867284
11	0.6584773769189473	0.22491264835322697	0.056020460460527305
12	0.6535453130399554	0.22535067441466872	0.05644876021472537
13	0.6547047738160251	0.227981283197451	0.05713907074554092
14	0.6610505685200223	0.2282481363399546	0.05814070607314212
15	0.6628801803767798	0.22948185154747672	0.059462323018623496
16	0.6724649401650238	0.23351750765972473	0.06036206205348148
17	0.6826087012387939	0.23984181982788716	0.06350002680830327
18	0.6969506199664816	0.2519288270685239	0.06630806988834126
19	0.7146681900468689	0.26049627007545534	0.06929720835434935
20	0.7642707816111635	0.29715817890789215	0.07727802435144333
21	0.8848871833762058	0.3500791993552021	0.0923302504018782
22	0.8939981397646947	0.34049092214266813	0.09894935828898745
23	0.8941544127562431	0.3408456737075574	0.09774541885462973
24	0.8983970780687512	0.3387579297444928	0.09744939054125608
25	0.8953586097913733	0.3454456129997361	0.09404054158594478
26	0.8937228332244043	0.33855389726996127	0.09148588979087988
27	0.8920842664407197	0.3376026241247422	0.08939261942438277
28	0.8916904705738552	0.34570709019177276	0.08881310236670462
29	0.894913276789461	0.3471415417992587	0.08932642646182282
30	0.8964188437343541	0.34900303264315563	0.09038402120208308
31	0.8950452219627358	0.3460121768761385	0.09081257511880403
32	0.8930632627232693	0.3460695485249881	0.09138126386509429
33	0.8978483199912579	0.34500570207570724	0.09143252731649602
34	0.8989087598501045	0.3394576492517666	0.09268995706198016
35	0.897547531753726	0.33883914087081574	0.09424237715695105
36	0.9000865274449257	0.34332981787844924	0.09698368051335494
37	0.8998448180055482	0.342856705487348	0.09765586936382653
38	0.898933701923213	0.3392388136049573	0.09828942175394478
39	0.9008898118604907	0.3482449227520617	0.09823946464681199
40	0.8905165701487305	0.34367375760114494	0.09566161626674054
41	0.767014945663193	0.29128407733392897	0.07578173277272826
42	0.7172399758515843	0.26284355727426645	0.07309636058173764
43	0.6974472971521632	0.2486290483283916	0.0679948818090917
44	0.6799219812684315	0.2422997983440122	0.06294877683615496
45	0.6649443367885741	0.23289884211540038	0.059910755983514044
46	0.6583661276663924	0.22804516772026046	0.057950313832197294
47	0.6523983869518447	0.22577895206216947	0.057680209722855175
48	0.6527587939106415	0.22361113376631253	0.05673813535734519
49	0.6566623077258031	0.22435908765897278	0.056524331678018874
50	0.6552478669124898	0.22439606280280192	0.05622666923448323
51	0.6531594401177248	0.22359411523771527	0.0558860036454571
52	0.6518126642774276	0.2242465565025613	0.05575227211497444
53	0.6465116384784518	0.22214927141090568	0.05548321075524178
54	0.6451135438216518	0.22203203378495506	0.0549398760958792
55	0.6441846167423684	0.21840949200948312	0.054441718140588354
56	0.6432747698550009	0.21803940351097922	0.05414577102659696
57	0.6393964953303058	0.21617491379523077	0.05359982366437636
58	0.6400422150110906	0.21628783522135075	0.0533086614379256
59	0.6383060770572737	0.2136913207160942	0.053221319327719535
60	0.638577895754339	0.21238961253633665	0.05306792504934383
