Window	CG_Weighted_mC	CHG_Weighted_mC	CHH_Weighted_mC
1	0.4609064526399454	0.15028046634403872	0.04178638886783968
2	0.4657389667037853	0.15563536743697226	0.042081800098018284
3	0.46043263323331907	0.15252809997290914	0.041546923848811694
4	0.46555994729907774	0.15471852919426315	0.041584692290676094
5	0.46238712142636634	0.1588287014928084	0.042247488936118564
6	0.4647456265609759	0.15711986122646987	0.04249252874836763
7	0.46898995097375334	0.1593526302735895	0.042955996847510385
8	0.46638964098279273	0.15879666929624334	0.04326357971487735
9	0.46199225252415255	0.15806347078940497	0.04396139421674633
10	0.4580809755641048	0.16136966481794068	0.04367812062681443
11	0.4625968492471107	0.15976314170305972	0.0442259346517824
12	0.4515269214898447	0.15998594790688336	0.04281948652040629
13	0.44936779558311973	0.15962379416367672	0.04370218016696004
14	0.4270192600955901	0.15286509807462426	0.04397633895383718
15	0.41813904963820914	0.1501421519074501	0.04383423312778787
16	0.38968415938245804	0.13754753896760297	0.04324018445698042
17	0.3415029493273888	0.11716374608332367	0.040271377363790495
18	0.2766221626853835	0.09565677542838265	0.03490494110908071
19	0.22733883538384456	0.07860949612403101	0.026836429991254164
20	0.2187721966585343	0.07106397213234246	0.021400663199233665
21	0.16848365298885173	0.05729592510557988	0.01696732437336557
22	0.18013018124206648	0.057392069192992744	0.01697583233059803
23	0.20120191156473444	0.057779136319681415	0.017261732902420623
24	0.22811837714703886	0.06248697003582056	0.018659525810676102
25	0.23946099121851433	0.06201510950576145	0.017508893125757628
26	0.26125181898529637	0.06041735714350871	0.01788483810215966
27	0.28948745152557254	0.05753632224242877	0.01700817528284685
28	0.31357130091471835	0.05970922947011609	0.017054213460450836
29	0.2800813118624455	0.055195334087438666	0.016570207530098618
30	0.31557240203475956	0.05907372117551177	0.016959604326098072
31	0.2927198540931092	0.053747733149299766	0.015812183517100054
32	0.2778261139767572	0.04975892665754905	0.01573996137258401
33	0.2767443210402074	0.05024265086716624	0.01578715807298745
34	0.28026436625867546	0.04942943877051399	0.01589237826299927
35	0.29458900894127465	0.051504220899337434	0.015931724845995893
36	0.26680476489536276	0.04872177574701155	0.015928804969057412
37	0.27979096747531235	0.05215209454942701	0.016298124823412197
38	0.2811822836432439	0.05569522409141666	0.01641867296547461
39	0.27458443057533677	0.056386605986039555	0.017111025248675155
40	0.2531754865185198	0.05901842157896114	0.01761092421398791
41	0.27727868731602257	0.07237691382013868	0.020595486357769754
42	0.2772079013898801	0.07408847088444247	0.02376032202567529
43	0.314091454614832	0.08088812563619481	0.027550934701645678
44	0.34824757349893626	0.09245037642368252	0.02952390538306972
45	0.3855557879870873	0.10306587485365863	0.03251216556111878
46	0.4122732159392313	0.11431814004952642	0.03359680205685826
47	0.40207117514589824	0.11154128002550205	0.03459015900381693
48	0.41235071562526815	0.12236854238740172	0.03508391717448461
49	0.4183609312847344	0.12397416538095395	0.03567341751204677
50	0.42497091854512314	0.1268854159844395	0.035808367721654244
51	0.4211294642468934	0.12913705754208937	0.035366807560956115
52	0.4210098023109359	0.1266028774528046	0.03566853291689358
53	0.41514105365485304	0.12617765707973688	0.03592752091667378
54	0.4264517282212838	0.12793310074497985	0.035101255947954504
55	0.42175062189054724	0.13023732392624712	0.035686945087256755
56	0.42532980697470446	0.12894380258448007	0.03559330879098597
57	0.4196080233903443	0.12718944110941965	0.03553629799043016
58	0.4235278414023784	0.12817310231444806	0.03540538241498475
59	0.4266815249506712	0.12934751365334865	0.03553807969681632
60	0.41689479340341506	0.12939400930925654	0.03620442980861206
