Window	CG_Weighted_mC	CHG_Weighted_mC	CHH_Weighted_mC
1	0.5696828555431488	0.21947681594025556	0.056382881001621844
2	0.5778765997666874	0.2253027439747805	0.05598549329982579
3	0.5685397218721295	0.222925487073567	0.05552672509680665
4	0.578185989519514	0.22623924526204978	0.05522642959076589
5	0.576603440017679	0.22527535508063642	0.05546325510167263
6	0.5760001987478883	0.22280543004363818	0.05563217106098543
7	0.5910611557321527	0.22670168910588853	0.05580618893514382
8	0.5897409601722113	0.2246023612038008	0.05669375248828645
9	0.5793318951032336	0.2256305385139741	0.058304673099859046
10	0.5647770792987628	0.23064687328043204	0.057636901531668255
11	0.5945304245016255	0.2283431076486944	0.058237181187783406
12	0.5905572946427046	0.23459285476814626	0.05759032009785869
13	0.5852703766657101	0.23168505690037192	0.05841006172598807
14	0.567167926549456	0.22473448475086988	0.05995578424172511
15	0.5797306519466833	0.2292942859952136	0.06052321027588553
16	0.5628769568636509	0.2224591658267623	0.0609415647466235
17	0.5380810209826805	0.20379250524704012	0.05835013580046029
18	0.4918793621855485	0.19009639616695997	0.054776087199261865
19	0.4628559275813218	0.17752423849964682	0.04857966648462245
20	0.4521999263708332	0.1737688593752688	0.04419365171084791
21	0.4235110809593238	0.16070627494361903	0.037677039949972194
22	0.4409858721146025	0.16743277331706594	0.03978305098495443
23	0.46078322869399985	0.17023040071569126	0.04036398689736746
24	0.4895566021079774	0.17927367671492997	0.043337327048620644
25	0.4848991346770173	0.18075143834166968	0.04195804195804196
26	0.5015754672866564	0.18083502534985227	0.04306365959759022
27	0.530320788878545	0.16846975806451614	0.040089613865835365
28	0.5549857294803996	0.16868702256849985	0.03984971987162043
29	0.5022770272431363	0.16356188875652664	0.03910845108382202
30	0.5388844410071012	0.16345796223940107	0.038424326776394596
31	0.5092026033071931	0.159620676800382	0.03694190012232918
32	0.47837369809262126	0.1483720891522546	0.037384851600212154
33	0.4796281349953666	0.1540608744052128	0.0379444371591278
34	0.4765524438617481	0.1507579220976265	0.03736306232378176
35	0.5009832762162699	0.15230579792138538	0.03723555786291741
36	0.4480914854895632	0.14295127877764507	0.03818911322417944
37	0.47864739347249374	0.15590092904362507	0.03881259331461239
38	0.5058970879866402	0.16552482693903087	0.03976301323897125
39	0.49801415148274447	0.16099295948740153	0.040772323861180876
40	0.4833132346671539	0.16980883002114255	0.042118304644442585
41	0.4974465116006356	0.1730991182779912	0.043047857950216234
42	0.48577167726816206	0.16719143944914444	0.04551489574381318
43	0.5024554330807475	0.16896834292495927	0.047450949039162374
44	0.5113343747548023	0.17325598344686358	0.04646531746996646
45	0.5580937572967894	0.18362553693564146	0.04837752878043967
46	0.5707375817710888	0.1931631042891981	0.04856657226788479
47	0.5549544222154622	0.18566009454737867	0.049996837676593894
48	0.552290190313207	0.19634933262618226	0.05005806135060086
49	0.55976003140074	0.20141881833581438	0.051229428800060296
50	0.566720847128656	0.2025274070234547	0.05073433674108104
51	0.5608409973272952	0.20412775928084775	0.05105382711419189
52	0.563771005948782	0.2031037112749498	0.051067813880769995
53	0.5427558429713712	0.19957460395937623	0.05052572540309788
54	0.5639271145415461	0.2034712666239301	0.04984156612632292
55	0.5543376688975881	0.20752215688032855	0.05063696087694376
56	0.5631275252025775	0.20438194758922393	0.05024143118876101
57	0.5454981897576499	0.20375896516393444	0.05057818757549726
58	0.5502001486031934	0.20054879025797148	0.05069713588818891
59	0.5525133452432025	0.20373517134217595	0.050678775988101644
60	0.5480247232487698	0.200459722649452	0.05180710780123318
