Window	CG_Weighted_mC	CHG_Weighted_mC	CHH_Weighted_mC
1	0.4532489748096075	0.1539085733334503	0.04661771828202794
2	0.4442829078428576	0.15647361977290508	0.0469791392242541
3	0.4367361111111111	0.1617333516738596	0.046205214633895424
4	0.4443645879404393	0.16672319498028576	0.047679443501204975
5	0.4375691008283037	0.16244100205736414	0.04875281925605926
6	0.4351867400707112	0.16496129852618643	0.049740093863244815
7	0.44412229246925017	0.1749684862728341	0.04853012553947869
8	0.4481350073971276	0.1736119408080015	0.05023004488840476
9	0.4321048088938127	0.17049336924811317	0.051194414109090806
10	0.43437518609577447	0.17340290687848572	0.05147408387611962
11	0.4295602419893953	0.17762465190966928	0.05427725607274662
12	0.40587528535383877	0.17263810100560684	0.050288174270589917
13	0.3852655530929032	0.16266217680443723	0.05046194891165675
14	0.3512171555865697	0.14972619942759738	0.05011264492932891
15	0.3138458329919483	0.14018245303056928	0.04882991016898463
16	0.26976050872422386	0.11481982471457103	0.047051782245081504
17	0.19080744411977807	0.0799279628531339	0.04094631067720529
18	0.11486249249377352	0.04733945488783423	0.0314345495965517
19	0.04336980700243015	0.02095317731994938	0.01686348865250409
20	0.01853111449484839	0.009845121911414303	0.008177937745301959
21	0.021481219919758217	0.007918803977784926	0.006805202736837143
22	0.03986251580278129	0.00866948726865268	0.006885555597536555
23	0.0671605742658788	0.008463100880162491	0.006445416014535213
24	0.09656349410517201	0.009271129733279135	0.0068938424688210305
25	0.11707885752352402	0.008151514831960686	0.006546135141561898
26	0.13845533605943675	0.008121433773637303	0.006692487758198297
27	0.1480485244193086	0.008441068735186382	0.006589501105320464
28	0.17388224001462668	0.008626472684583456	0.006763246784679716
29	0.17948368123455669	0.009073787858627008	0.006881646191830578
30	0.19303490809113513	0.009459171972208818	0.0068842627829929035
31	0.19223000167064078	0.008791995001914589	0.0068506669494720965
32	0.19411498885077821	0.00920884486676512	0.00686142992722902
33	0.19994980957160993	0.009945151292716744	0.006979236770607443
34	0.21265190706777087	0.009270390460831746	0.006875129606561609
35	0.2227247991066696	0.009710797596891002	0.006952030288076952
36	0.20280171356054605	0.009155044645860767	0.006825818852729275
37	0.20041260069421704	0.009071374107534832	0.006710165139239385
38	0.19482988510146926	0.009770948636687024	0.006962305373489311
39	0.1765425941877862	0.010113758679639519	0.0070999672806608015
40	0.13601983243647175	0.011112386637584662	0.007455409077355329
41	0.07186165171442296	0.011704672976349277	0.008214322975110091
42	0.09224701242126332	0.01798290703205315	0.012238211156647048
43	0.15747967553033107	0.03539554242564382	0.018885342403195022
44	0.21781347551860858	0.05643856280855732	0.02516490648853899
45	0.2678237583786898	0.0724453960847812	0.030885199038741266
46	0.2935133485495192	0.08670823952681377	0.032493830242462315
47	0.3136086218201994	0.10124345524598287	0.03478157164488382
48	0.3438994427181412	0.11176098517089779	0.0351939993941301
49	0.3474761136076087	0.11003011443485244	0.03559614608980417
50	0.34916421327370956	0.11000507914304032	0.03582067652107193
51	0.3646549108497385	0.12206146424447631	0.036911167825452784
52	0.36369711566493096	0.1224251101963347	0.03762052861287923
53	0.357610579700841	0.11823606926130784	0.03782264609113042
54	0.36109755311409286	0.12058639416651158	0.03701337926096262
55	0.37481442108543045	0.11824106022915884	0.03751566248868546
56	0.36866971114576375	0.11711488094219148	0.0367125126422103
57	0.3643616900021428	0.11265237146537549	0.03529797194350809
58	0.37108206305352814	0.11530046367591494	0.03581130304375928
59	0.3723768865371896	0.12044710764765322	0.03600136025491241
60	0.3726622168934037	0.11638249589176876	0.03583453852484559
