Window	CG_Weighted_mC	CHG_Weighted_mC	CHH_Weighted_mC
1	0.44497544023354124	0.15482368741834002	0.04427850181818709
2	0.446309965286871	0.156928062634358	0.04458888530113616
3	0.44539561645550363	0.16013021301015407	0.044582839631985845
4	0.44526714958363933	0.15873256769536365	0.04468380135400964
5	0.44578959418644404	0.16689260919513424	0.04560551385706605
6	0.43895101653017987	0.16637712377933078	0.04596022122410137
7	0.4436247347599259	0.16899754554990884	0.04709960265013965
8	0.43831732752259117	0.16882891149381846	0.047204716185347835
9	0.4330349218370945	0.16530748816432614	0.04699039622588526
10	0.43642259341238676	0.1663884262498645	0.047142180172230666
11	0.42634984373447854	0.16618014167144504	0.04753162761271409
12	0.41227100017095003	0.1601473939171311	0.045747070345615544
13	0.3977114101741275	0.15860376583872954	0.046353404736924675
14	0.3695470223289177	0.14892270570732827	0.045602499430448716
15	0.3380247240440057	0.13792525450941023	0.04516552788055749
16	0.2945864310707258	0.11576239538145175	0.04284329240486717
17	0.22070646676910086	0.08889231551950043	0.03816928571354504
18	0.14080795853991895	0.055169530543016355	0.029104052953445054
19	0.06827629279886677	0.028021256595591574	0.017520499377753733
20	0.03881472359196693	0.015867217884455404	0.009607166275294877
21	0.0351034653908882	0.01243788624284636	0.007733887798254302
22	0.04917072850815452	0.011871836077693217	0.007613637574412576
23	0.06554942231023639	0.011724574100624718	0.0076739425623197285
24	0.08360640666145693	0.011752962719929616	0.0077641292430024825
25	0.10115516591554982	0.011132953008014068	0.007767581938962102
26	0.11824917667743187	0.011911578746450982	0.0077044688198583825
27	0.13201438428481818	0.012198382054966386	0.007857693349163699
28	0.14730592807313733	0.011652628504145198	0.007738441902826483
29	0.15570405595843043	0.011775292606252923	0.007708618389703549
30	0.16167533990290472	0.0124085086074454	0.007787161943895285
31	0.1663061496182234	0.011993961690668608	0.007722820238950808
32	0.17588941630992944	0.012766151656347919	0.007866231710325036
33	0.17303742210926013	0.012582031233343236	0.008088369495845764
34	0.18179377064742377	0.012702163593525205	0.008115831382110762
35	0.18027200935946183	0.01330758226813862	0.008068025230724795
36	0.17188243397740427	0.013036894088636942	0.007851028228118723
37	0.17425521187276674	0.013397025519863399	0.007884283672919058
38	0.16716362697043433	0.0142366971456127	0.008047069899452355
39	0.1531658597949148	0.014569180767700897	0.008090724248991423
40	0.12099122182434294	0.015297369574609662	0.008178355802730951
41	0.0867957160721866	0.018451598946042987	0.009993002138733435
42	0.12683281308170338	0.029809147624497028	0.015098038541201942
43	0.1920185533270167	0.047460085748688326	0.02159983022054414
44	0.24710818123222164	0.06510780262407585	0.026559282322890485
45	0.2904200019348307	0.08106968402427564	0.03103454968364541
46	0.3241401399967572	0.09485483823664029	0.032765443923116026
47	0.344471780813813	0.1064610819065222	0.035376404401937914
48	0.36081118334327433	0.11468373422469541	0.03611935569230043
49	0.3726540630101655	0.11892298849800084	0.03665104679857251
50	0.38150831302719823	0.12142951261291597	0.0367450368611182
51	0.3766781967582407	0.12519679091660835	0.03671625675488865
52	0.38029506514300804	0.12570666289375548	0.03686106061317942
53	0.3802761742219559	0.12179640427402721	0.03734185990906911
54	0.38645719152003194	0.12397160679027233	0.037193248862852725
55	0.3850915070106483	0.12344147197675827	0.03703434610303831
56	0.3828883725624466	0.12353979021317049	0.03679216703400229
57	0.38424047179292026	0.11803343849150387	0.03579692771948663
58	0.39078693905244066	0.12553621893494094	0.03693941304341362
59	0.39191626066141083	0.12656972766539706	0.0371960587492595
60	0.3922902216357898	0.12608044826399972	0.03704816144816932
