Window	CG_Weighted_mC	CHG_Weighted_mC	CHH_Weighted_mC
1	0.6307125031334501	0.2120847450471478	0.0524757922612793
2	0.6292620766487612	0.2137315870353137	0.052534055488216304
3	0.6325514898073964	0.21527615633554312	0.05270697284968796
4	0.6312125546631823	0.2138268205230365	0.05273874034258293
5	0.6363424528120585	0.21591181370687615	0.05278204832147342
6	0.6372539341635309	0.21564837121474514	0.05295558855613712
7	0.6396133291055097	0.21642790597108416	0.053024957737343684
8	0.6386214388433832	0.21662097286198306	0.0534080045640003
9	0.6403674215520166	0.2181852951936533	0.05376020105234498
10	0.6449161270435233	0.21880616622035354	0.05406609085456128
11	0.6401757812006579	0.22040588001638287	0.05432414890788163
12	0.636231628403263	0.21998151925694454	0.054481657732436385
13	0.6379877835817661	0.22117408992537352	0.05502455304159127
14	0.6429326330173436	0.22374035189272037	0.05592278792089654
15	0.6456538462499095	0.22230214353631764	0.05699093889028126
16	0.6545551295621366	0.22821889227588296	0.057965169820547564
17	0.66385653931972	0.23299659448870713	0.060391623265782436
18	0.6760109322557386	0.2429589376562453	0.06269548485863627
19	0.6915947280841361	0.25129062256315204	0.06497932469911705
20	0.7376781911660442	0.281152574238008	0.07177362807926274
21	0.8384802580254532	0.32226672241895227	0.0826399264908892
22	0.8465135325021724	0.3178194874400622	0.08663021905947894
23	0.842161750188174	0.3180730255146147	0.08604968127736613
24	0.8484361426457214	0.3145980534856835	0.08556011523499556
25	0.8434264558758521	0.3220067670026309	0.08320666951410359
26	0.8391496138757615	0.31303051097125323	0.08141406382637123
27	0.8349787002438743	0.3125556769522498	0.08012860331523684
28	0.8349430699035538	0.3171960851032853	0.07963853968003119
29	0.8333430846107507	0.32214643734220577	0.07985969238793542
30	0.8367542939911148	0.3219026235806796	0.0807664309593589
31	0.8373657571153955	0.3178127927698786	0.08103493291810189
32	0.8367417017415297	0.3172085611786423	0.08138431894720677
33	0.8391422659165483	0.31474202993274186	0.08121630893392719
34	0.8444002936295162	0.31175168469862596	0.0822752653393861
35	0.8435672267780864	0.31365201502054024	0.08366939574281029
36	0.8419764867450779	0.32035603618462155	0.08574296222573316
37	0.8426487331142174	0.3174821577496551	0.0861221885384816
38	0.8443092266774771	0.3141938689667047	0.0865437609985096
39	0.8462784788918495	0.32094043607735684	0.08632966044266431
40	0.8438818291781851	0.31682644876995264	0.08470552052157755
41	0.7398633658802747	0.27690322095757286	0.07005249076383158
42	0.695148582243394	0.2504568970264299	0.06786545578943916
43	0.6782093832978746	0.240990824624498	0.06402490776292243
44	0.6614718276250238	0.2343003973591825	0.059746691753702605
45	0.6479307905303715	0.227484758355323	0.05738917776093424
46	0.6436221993966871	0.22363644289768378	0.0559509997885549
47	0.6377287938320131	0.22004676785486735	0.055514377320904605
48	0.6372914254253963	0.21998014238120003	0.05481680919573688
49	0.6411616654222969	0.21861892345060333	0.05475653145246572
50	0.6389572337353975	0.22142233518149984	0.05460398979158729
51	0.6363840581955423	0.21798314411575215	0.054172508550557136
52	0.6363198078240633	0.21979252540535793	0.05397374950368726
53	0.6312502795252581	0.21877217291440412	0.05371413623714966
54	0.6282727493990646	0.21654924677149895	0.05307843358919207
55	0.6287243667412963	0.21471708722693592	0.05299346269246608
56	0.6274161097778349	0.21321310898192938	0.052626018663245414
57	0.623444537112147	0.2136140921562279	0.05230427721418912
58	0.6241057553284065	0.21223800463903153	0.052014302661107216
59	0.622935774583257	0.2110750669410014	0.05194240529218398
60	0.6231877101925165	0.2096942902342443	0.05165092522125649
