Window	CG_Weighted_mC	CHG_Weighted_mC	CHH_Weighted_mC
1	0.4607594936708861	0.16875515337852	0.049622946117039005
2	0.4640288794911819	0.17097470208293788	0.050189178280172074
3	0.46062820172221614	0.17162663152636526	0.04992878414110191
4	0.4680631495739423	0.17222587273097528	0.049998830758702865
5	0.46885380556599704	0.17582913789529764	0.05022737300879776
6	0.4702811156678822	0.17581634112919137	0.050407455931320115
7	0.4722969146316018	0.17673899542161148	0.05109530563755672
8	0.4704971744774355	0.17749492241657158	0.05140369073688921
9	0.46863679495220384	0.177178972657903	0.052329939882294195
10	0.464951020075012	0.17936583736234907	0.052011105431811394
11	0.46741843286436	0.17762013722202688	0.05260951663342794
12	0.4618257829142577	0.1789268564505052	0.05175792329993664
13	0.4575159806130994	0.17888854129379905	0.052085406279098204
14	0.44537583853404566	0.17237297697207218	0.05248029902630194
15	0.43535715054096846	0.1694518677748387	0.052615604036923766
16	0.41069570539474404	0.15800532133391726	0.05165030087341739
17	0.36654504791142023	0.14037453125268337	0.04930752929053225
18	0.31273081053221913	0.11892981497639298	0.044112677121614714
19	0.25425490686427205	0.09805475931534789	0.036228654819578446
20	0.2269127974088444	0.08595546183715469	0.028704368400677024
21	0.17030850959334687	0.06723904333398541	0.020791566852965078
22	0.17403445801884276	0.06479966415989637	0.020076604273733548
23	0.1908788754756015	0.06284474224796088	0.020075627978884365
24	0.2138497888552905	0.0665969529605223	0.02131331811681883
25	0.22955803817783654	0.06653159224571699	0.020758403576304183
26	0.24836788300587334	0.06305077321610106	0.020445164148910566
27	0.27563172732885527	0.06166913537399367	0.01967006353988453
28	0.29244955086151897	0.0624696117515532	0.01953402068705973
29	0.27800754442576014	0.060108817032696375	0.019480021169143408
30	0.30115073399363285	0.06372247671551616	0.020022187484955836
31	0.2877519358730353	0.05898590730785994	0.018816687906427168
32	0.27752653877279004	0.05496666647669459	0.018538046904710805
33	0.2713795607087631	0.05442255775457309	0.018322197325096278
34	0.27719136850719245	0.05437931634405186	0.018400547792093033
35	0.2828714591438182	0.055300785705336905	0.018371200586094198
36	0.2666298721773388	0.05454250849187339	0.018808233309511934
37	0.26649385464163045	0.05874323896439331	0.01925532708797686
38	0.26518747795213765	0.06012679309372952	0.019467099537166608
39	0.2592948385305789	0.06355081728323779	0.0200859306498372
40	0.24877992613478542	0.06568131558232787	0.02058047324237142
41	0.28053056918939806	0.08267180840630461	0.025562100681117077
42	0.29022652086867445	0.08689159632975411	0.029500487940725465
43	0.3260330137218647	0.09587158355288153	0.03368871625090015
44	0.3605549460596087	0.10810397023390755	0.035981322027762004
45	0.3917842897480201	0.1196452624737432	0.03887732551963017
46	0.4108780862460522	0.12767424779577055	0.040071639019325485
47	0.40848078843378216	0.12878376612682385	0.04109607793176809
48	0.41721259459787885	0.13704592495022733	0.04185055444609175
49	0.42056560697746315	0.13891283791534367	0.042319948517262014
50	0.4229459412480445	0.14132401772432113	0.04237759469333068
51	0.4229951590212787	0.14306762255138744	0.042661084134066475
52	0.4239645620338583	0.14185366659307352	0.04258958716754866
53	0.4171157937730649	0.14153681496602827	0.04278980638480885
54	0.4269351014431107	0.14318836938429125	0.04270283145730227
55	0.4267552918964133	0.14487029443506647	0.04270934089834214
56	0.4304180389236425	0.14585767057114893	0.042658929066986755
57	0.42856987662153545	0.1434326776070482	0.042697358073990554
58	0.4263808158871401	0.14379712619149237	0.04327304727380771
59	0.43076430231360363	0.1462503233817975	0.0435401540911012
60	0.4256454835052103	0.14642486501480173	0.04412966025108011
