Window	CG_Weighted_mC	CHG_Weighted_mC	CHH_Weighted_mC
1	0.48311987819836677	0.1941642466289584	0.04103984213947287
2	0.4868737714254221	0.1968253804103139	0.04154078482300954
3	0.4826370766106516	0.19606005574919022	0.04120661428213144
4	0.4885383109668868	0.1984876068747661	0.04111324084417391
5	0.48786325518925605	0.2017872996529946	0.04187108434535432
6	0.4891020654265133	0.201712040199979	0.04227513637213017
7	0.4924876799685555	0.2026178345122111	0.04282223621595035
8	0.4895806412884464	0.2039672203847673	0.043024420969875146
9	0.48906149600974463	0.201937659775592	0.04407902101727914
10	0.4855975144910224	0.20274421921013425	0.04364132128081654
11	0.4819349347124673	0.20215626150828983	0.04396150144194274
12	0.474138492259362	0.1992524713919126	0.04293332291179182
13	0.465246842349528	0.19684141627027413	0.04365862367267203
14	0.4469111335708114	0.18764220036088317	0.04395708184861727
15	0.43095416781209916	0.18179320304181548	0.04395208255523603
16	0.4039866683272349	0.16589509980482833	0.043203441992978
17	0.3543821421242775	0.1427894702209567	0.040773692419454
18	0.29185793172269725	0.11797681511474974	0.035307211622071594
19	0.2413094780373872	0.10005547707926	0.026979324357443407
20	0.23098404464290884	0.09152876037055935	0.020920717308456665
21	0.18166390635043025	0.07447530571685713	0.016306306498667336
22	0.1970631119900079	0.07603517003475423	0.016658163023789644
23	0.22038554285930173	0.07619804869692193	0.016940733692256783
24	0.2438988880703932	0.07989385337276181	0.01782127192274958
25	0.25568006507975627	0.07858541692078994	0.017027444302990823
26	0.2761710342192982	0.07784563065180569	0.017271634027603244
27	0.30084632128806293	0.07481506090385187	0.016723824369966226
28	0.3044556275126167	0.07514901125740373	0.016861169794905994
29	0.2947398828511097	0.07192288911484222	0.01632880655467621
30	0.3125315687138294	0.07247205013757661	0.01646615925310404
31	0.29785964542974125	0.06814234764015101	0.015634114731309396
32	0.2922853719887797	0.06611732307049167	0.01569492880817961
33	0.2907409884913657	0.0661470866636229	0.015792751498464815
34	0.30064949100555616	0.06644343120271289	0.015761662057208428
35	0.30817918527679045	0.06770581734099976	0.015849292515619225
36	0.2936312486291977	0.06557055597503587	0.016017400315762025
37	0.2948684232178306	0.0686172988923221	0.01622995581905406
38	0.2959258845853332	0.07412986185512178	0.016188941073669597
39	0.2916415536112387	0.07459988973303437	0.016847881269349906
40	0.2695198205320461	0.07786784496492147	0.01737652949847924
41	0.2914217271819179	0.09586682739016228	0.020110068331772753
42	0.2886497235114752	0.09564565645887517	0.02330094314572796
43	0.3285050115604686	0.10238532334789617	0.026923004093459227
44	0.3688543416160659	0.11690163386078443	0.029241421852325568
45	0.40110606216636924	0.1277640505246745	0.032086774266823284
46	0.4245520028331305	0.14115765399782185	0.033267819507930375
47	0.42335939754745666	0.14704756364135826	0.03430068709113662
48	0.43505208866791545	0.15583867614649385	0.03461688971842678
49	0.43989738959511016	0.15890003283809606	0.03516833474687537
50	0.44613505269136206	0.1622082966223043	0.035112346375720895
51	0.44188665653823533	0.1651383565841212	0.03519188275372137
52	0.4459546098273601	0.164431932556347	0.03549984091582017
53	0.43936608509906006	0.16383263761501018	0.035524482460682946
54	0.4474825749594381	0.16534979676802117	0.03484336754198918
55	0.44661897910037307	0.16783833847307672	0.03543358855931417
56	0.4503006140197216	0.16745305167298227	0.03539628087261306
57	0.44680131799270423	0.16408216218573438	0.03539355877925862
58	0.4470986579868227	0.16567153266882753	0.0357472896811447
59	0.4512975325892575	0.16830011948794224	0.035760834423529786
60	0.4493871386218367	0.16800567060412078	0.03601253132313052
