"","TO1000ID","TO1000Chr","TO1000Strand","TO1000Start","TO1000Stop","TO1000_tName","TO1000Exons","TO1000Length","TO1000GeneID","TO1000GeneName","TO1000Cov","TO1000FPKM","TO1000TPM","R500_tName","BlockSize","R500ID","R500Chr","R500Strand","R500Start","R500Stop","R500Exons","R500Length","R500GeneID","R500GeneName","R500Cov","R500FPKM","R500TPM","Generation","SumTPM","L2FC","Bias","R500TPMRatio","TO1000TPMRatio","R500RollMeanTPM","TO1000RollMeanTPM"
"83",1,"C1","+",5435589,5442355,"Bo1g016640.1",11,1422,"Bo1g016640",".",29.447256,20.378752,18.229368,"maker-A01-augustus-gene-0.51-mRNA-1",2130,1,"1","+",1305,6877,12,2553,"maker-A01-augustus-gene-0.51",".",21.576202,41.672363,91.986969,"S5",110.216337,-2.27371720683773,"Nonbiased",0.834603757517363,0.165396242482637,0.871365918350184,0.128634081649816
"84",2,"C1","+",5461837,5462922,"Bo1g016650.1",1,1086,"Bo1g016650",".",6.366483,4.405877,3.941181,"augustus_masked-A01-processed-gene-0.1-mRNA-1",1590,2,"1","+",16285,17370,1,1086,"augustus_masked-A01-processed-gene-0.1",".",17.478821,33.758659,74.518387,"S5",78.459568,-3.93390014134159,"Bna Biased",0.949768000252053,0.0502319997479466,0.861356768317362,0.138643231682638
"85",4,"C1","-",5480095,5481217,"Bo1g016670.1",6,639,"Bo1g016670",".",51.153366,35.400303,31.666569,"maker-A01-augustus-gene-0.62-mRNA-1",949,4,"1","-",29338,31121,8,1096,"maker-A01-augustus-gene-0.62",".",11.396948,22.01211,48.589214,"S5",80.255783,-0.602211423360907,"Nonbiased",0.605429443009733,0.394570556990267,0.859105239087835,0.140894760912165
"86",6,"C1","+",5614836,5616285,"Bo1g016790.1",5,1014,"Bo1g016790",".",6.906312,4.779461,4.275362,"maker-A01-augustus-gene-1.37-mRNA-1",1460,10,"1","+",185882,187705,5,1388,"maker-A01-augustus-gene-1.37",".",11.848703,22.884632,50.515205,"S5",54.790567,-3.28765631329807,"Nonbiased",0.921969013388746,0.0780309866112537,0.855555475621024,0.144444524378977
"87",7,"C1","-",5641517,5644944,"Bo1g016860.1",6,3036,"Bo1g016860",".",154.622635,107.005432,95.719376,"augustus_masked-A01-processed-gene-2.1-mRNA-1",4190,11,"1","-",186529,196269,16,6880,"augustus_masked-A01-processed-gene-2.1",".",187.172958,361.506592,797.984436,"S5",893.703812,-3.04629055815936,"Nonbiased",0.892895862460526,0.107104137539474,0.853700526644151,0.14629947335585
"88",12,"C1","-",5692709,5693155,"Bo1g016940.1",1,447,"Bo1g016940",".",18.570469,12.851553,11.496076,"augustus_masked-A01-processed-gene-2.10-mRNA-1",515,16,"1","-",219387,219734,1,348,"augustus_masked-A01-processed-gene-2.10",".",31.626436,61.083424,134.834671,"S5",146.330747,-3.4423047279288,"Nonbiased",0.921437727643118,0.0785622723568821,0.849664354803894,0.150335645196106
"89",13,"C1","-",5726750,5734100,"Bo1g016960.1",14,4290,"Bo1g016960",".",4.234653,2.93056,2.621468,"maker-A01-snap-gene-2.84-mRNA-1",2530,17,"1","-",225384,234248,16,5831,"maker-A01-snap-gene-2.84",".",4.26192,8.231489,18.170071,"S5",20.791539,-2.40420914777666,"Nonbiased",0.873916596554012,0.126083403445988,0.849233942011914,0.150766057988086
"90",15,"C1","-",5737458,5743192,"Bo1g016980.1",18,4239,"Bo1g016980",".",1.891927,1.309294,1.1712,"maker-A01-augustus-gene-2.68-mRNA-1",6340,19,"1","-",237020,243232,18,4734,"maker-A01-augustus-gene-2.68",".",2.460735,4.752673,10.490982,"S5",11.662182,-2.40393756256272,"Nonbiased",0.899572824365114,0.100427175634885,0.842462973438668,0.157537026561332
"91",17,"C1","+",5755040,5756359,"Bo1g017000.1",2,1257,"Bo1g017000",".",11.688942,8.089244,7.236057,"maker-A01-snap-gene-2.76-mRNA-1",824,21,"1","+",251928,254245,4,1856,"maker-A01-snap-gene-2.76",".",15.293436,29.537802,65.201317,"S5",72.437374,-3.00683419839388,"Nonbiased",0.900106028139562,0.0998939718604377,0.839815478955772,0.160184521044228
"92",21,"C1","-",5792760,5794095,"Bo1g017060.1",8,627,"Bo1g017060",".",23.7815,16.457806,14.721972,"maker-A01-augustus-gene-2.73-mRNA-1",920,25,"1","-",282067,284033,8,1287,"maker-A01-augustus-gene-2.73",".",2.098493,4.053038,8.946617,"S5",23.668589,0.660504354499192,"Nonbiased",0.377995367615704,0.622004632384296,0.839270660698203,0.160729339301797
